id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url
24,L+,18500000,18500000,927226,2024-11-05,Venta Residencia Club De Golf Pachuca,600,600,30833.33333333333,30833.33333333333,2022-11-16,592,19,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-907a9d6c72a-8315-1393bd42-c026-3fee
25,L+,18500000,18500000,927226,2024-11-05,CASA EN VENTA 600 M2 DE CONSTRUCCION EN CLUB DE GOLF,600,600,30833.33333333333,30833.33333333333,2023-06-08,390,12,2024-07-03,Casa,Venta,1,3,1,0,1.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-8b66ed763821-d1d5-fc16fef8-93cf-4c05
26,L+,18500000,18500000,927226,2024-11-05,Venta Casa Club de Golf Pachuca 690 m² de Terreno Fte Al Campo,690,500,26811.594202898552,37000.0,2023-06-01,397,13,2024-07-03,Casa,Venta,1,4,1,0,1.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-3f25bc2f4bdf-fc12-1dc80dc3-a471-414d
27,L3,17800000,17800000,892141,2024-11-05,"SE VENDE CASA CON JARDÍN EN PRIVADA EX HACIENDA LA LUZ EN PACHUCA, HIDALGO",600,488,29666.666666666668,36475.40983606558,2023-01-31,518,17,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,,parque de poblamiento 2da seccion,pachuca de soto,hidalgo,parque de poblamiento,42032.0,"Parque de Poblamiento 2da Sección, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-2895ac55e128-5f9c-a7bd3e29-b6e3-3d1f
28,L3,17800000,17800000,892141,2024-11-05,OPORTUNIDAD DE CASA RESIDENCIAL EN VENTA PACHUCA,645,488,27596.8992248062,36475.40983606558,2023-08-08,325,10,2024-07-03,Casa,Venta,1,4,2,0,2.0,No,fraccionamiento,exhacienda la luz,pachuca de soto,hidalgo,ex-hacienda la luz,42084.0,"Fraccionamiento Exhacienda La Luz, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-31015f4934bc-5732-288d1675-b3dd-4737
29,L3,17500000,17500000,877105,2024-11-05,SE VENDE CASA EN CLUB DE GOLF,500,600,35000.0,29166.666666666668,2023-10-31,243,8,2024-07-03,Casa,Venta,1,5,1,0,1.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-5df0314e8974-786d-136b2a19-8b4d-1237
30,L3,17000000,17000000,852045,2024-11-05,Residencia en venta en Club de Golf recién remodelada,400,400,42500.0,42500.0,2022-12-16,562,18,2024-07-03,Casa,Venta,1,4,3,0,3.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-b36a638f0ee9-6992-24d1356a-9701-3a41
31,L3,17000000,17000000,852045,2024-11-05,CASA EN CLUB DE GOLF,530,400,32075.471698113208,42500.0,2024-06-02,31,1,2024-07-03,Casa,Venta,1,3,2,0,2.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-2ebdc2ddc18b-c318-c446ab84-827f-433b
32,L3,16900000,16900000,847033,2024-11-05,CASA EN EXCLUSIVO DESARROLLO DE PACHUCA,1050,760,16095.238095238095,22236.84210526316,2023-05-25,403,13,2024-07-03,Casa,Venta,1,3,1,0,1.0,No,frac,c arboledas santa elena,pachuca de soto,hidalgo,arboledas santa elena,42086.0,"Fracc Arboledas Santa Elena, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-b22873e5dd5-7b47-7310ca14-8b90-47e5
33,,16000000,16000000,801925,2024-11-05,"Se vende casa con Alberca en el Club de Golf, Pachuca, Hidalgo.",600,733,26666.666666666668,21828.103683492496,2023-07-21,342,11,2024-07-03,Casa,Venta,1,5,5,0,5.0,No,,ampliacion los jales,pachuca de soto,hidalgo,venta prieta,42083.0,"Ampliación Los Jales, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-99f47d1154e8-a67f-99b2147f-936a-3a54
34,L2,15500000,15500000,776865,2024-11-05,"Se vende casa en Zona Plateada. Pachuca, Hidalgo.",366,366,42349.72677595628,42349.72677595628,2023-10-03,270,9,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,,venta prieta,pachuca de soto,hidalgo,venta prieta,42083.0,"Venta Prieta, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-869aeba02a65-262b-268d7805-b123-38d8
35,L2,15000000,15000000,751805,2024-11-05,Casa en Venta Privada Cuesco Pachuca Residencial,245,245,61224.489795918365,61224.489795918365,2022-11-07,601,19,2024-07-03,Casa,Venta,1,4,6,0,6.0,No,,cuesco,pachuca de soto,hidalgo,cuesco,42064.0,"Cuesco, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-f469497280de-4042-646369c5-95b1-3ced
36,L2,15000000,15000000,751805,2024-11-05,Casa Residencial tipo Hacienda en San Javier,450,450,33333.333333333336,33333.333333333336,2022-12-16,562,18,2024-07-03,Casa,Venta,1,5,4,0,4.0,No,fraccionamiento,valle de san javier,pachuca de soto,hidalgo,valle de san javier,42086.0,"Fraccionamiento Valle de San Javier, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-783f030bafb4-4c56-918f95ee-ac42-3a98
37,L2,14400000,14400000,721732,2024-11-05,Se vende casa en zona plateada Mina Rosario,486,460,29629.62962962963,31304.34782608696,2024-06-02,31,1,2024-07-03,Casa,Venta,1,5,1,0,1.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-ba15cb065ea0-e1b7-af6a220f-87e6-4370
38,L1,13900000,13900000,696672,2024-11-05,HERMOSA CASA EN VENTA,300,560,46333.333333333336,24821.42857142857,2023-05-04,424,13,2024-07-03,Casa,Venta,1,4,2,0,2.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-b4a268569132-b753-fe5cd53a-8955-3a02
39,L1,13900000,13900000,696672,2024-11-05,Excelente Casa en Venta en Privada de Cuesco,750,600,18533.33333333333,23166.666666666668,2023-11-27,216,7,2024-07-03,Casa,Venta,1,4,2,0,2.0,No,,cuesco,pachuca de soto,hidalgo,cuesco,42064.0,"Cuesco, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-8917161948e4-fa0c-44d4618f-bd0b-465e
40,L1,13800000,13800000,691660,2024-11-05,VENTA DE RESIDENCIA EN EX-HACIENDA COSCOTITLAN,488,544,28278.688524590165,25367.647058823528,2023-10-19,254,8,2024-07-03,Casa,Venta,1,4,2,0,2.0,No,frac,c exhacienda de coscotitlan,pachuca de soto,hidalgo,ex-hacienda de coscotitlan,42064.0,"Fracc Exhacienda de Coscotitlán, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-3d3a64d04423-ef82-f522ed63-9fd5-46e3
41,L1,13800000,13800000,691660,2024-11-05,VNTABUTROSNJAVIER (Casa en Venta en San Javier Pachuca),588,588,23469.38775510204,23469.38775510204,2023-04-24,434,14,2024-07-03,Casa,Venta,0,4,4,0,4.0,No,fraccionamiento,valle de san javier,pachuca de soto,hidalgo,valle de san javier,42086.0,"Fraccionamiento Valle de San Javier, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-696f7408bdb8-1947-d6f44c0f-8f8e-3863
42,L1,13500000,13500000,676624,2024-11-05,"Hermosa casa residencial en Pachuca con acabados de 1ra, bar, gimnacio, 5 recamaras",405,620,33333.333333333336,21774.1935483871,2024-06-02,31,1,2024-07-03,Casa,Venta,1,5,2,0,2.0,No,fraccionamiento,san carlos,pachuca de soto,hidalgo,san carlos,42084.0,"Fraccionamiento San Carlos, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-3749c377c9ee-9f65-5561ef8c-a124-46b8
43,L1,13500000,13500000,676624,2024-11-05,"Se vende casa en ex hda de Cuesco, fracc. San Javier, Pachuca.",553,553,24412.29656419529,24412.29656419529,2024-06-02,31,1,2024-07-03,Casa,Venta,1,5,5,0,5.0,No,frac,c exhacienda de coscotitlan,pachuca de soto,hidalgo,ex-hacienda de coscotitlan,42064.0,"Fracc Exhacienda de Coscotitlán, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-9047ea5d73dc-9849-b7ec42eb-95e9-3909
44,L1,13000000,13000000,651564,2024-11-05,Casa en Venta Club de Golf Pachuca Hidalgo,500,517,26000.0,25145.067698259187,2024-06-02,31,1,2024-07-03,Casa,Venta,1,4,1,0,1.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-e0c82b61fb02-d97b-9271e27a-a33f-4d43
45,L1,12900000,12900000,646552,2024-11-05,"VENTA CASA JADE RESIDENCIAL Z PLATEADA 3 RECAMARAS, 3 NIVLS ROOF GARDEN PACHUCA",263,520,49049.42965779467,24807.69230769231,2023-04-24,434,14,2024-07-03,Casa,Venta,1,3,5,0,5.0,No,frac,c arboledas san javier 2da secc,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Fracc Arboledas San Javier 2da Secc, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-d95ce0f7a6d9-91b7-f7503431-9902-387a
46,L1,12500000,12500000,626504,2024-11-05,Vía Dorada: Penthouse de Lujo con Vistas Inigualables,254,254,49212.59842519685,49212.59842519685,2023-12-26,187,6,2024-07-03,Departamento,Venta,1,3,1,0,1.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-f1cd7c4e937d-3402-a069e79f-92f0-4cee
47,L1,12500000,12500000,626504,2024-11-05,CASA EN VENTA LAGOS RESIDENCIAL,385,450,32467.532467532463,27777.777777777777,2023-10-22,251,8,2024-07-03,Casa,Venta,1,3,1,0,1.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-bf6cfc821daa-70c0-7f766a39-af6a-1237
48,L1,12500000,12500000,626504,2024-11-05,Exclusiva Casa Residencial con acabados de lujo ZONA PLATEADA,405,550,30864.1975308642,22727.272727272728,2023-10-11,262,8,2024-07-03,Casa,Venta,1,4,2,0,2.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-befee3179772-3e68-487bce4b-bdd8-4add
49,L1,12300000,12300000,616480,2024-11-05,CASA EN PRIVADA EXCLUSIVA EN ZONA PLATEADA,342,470,35964.91228070176,26170.212765957447,2024-01-04,179,5,2024-07-03,Casa,Venta,1,4,2,0,2.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-acd66bbb2691-1eec-3a479fdf-84ae-49d7
50,L1,12200000,12200000,611468,2024-11-05,"VENTA DE CASA EN VENTA PRIETA PACHUCA, HGO.",500,645,24400.0,18914.728682170546,2023-12-12,201,6,2024-07-03,Casa,Venta,1,5,3,0,3.0,No,,la palma,pachuca de soto,hidalgo,la palma,42010.0,"La Palma, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-97abeb3e6ad9-bd9d-a27a3a1d-888a-3f45
51,,12000000,12000000,601444,2024-11-05,*vendo Residencia en Exclusivo Fraccionamiento Pachuca Hgo,250,460,48000.0,26086.95652173913,2023-12-11,202,6,2024-07-03,Casa,Venta,1,4,2,0,2.0,No,,la moraleja,pachuca de soto,hidalgo,la moraleja,42064.0,"La Moraleja, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-320ad3d08c05-c038-777493aa-8a3f-4d17
52,,12000000,12000000,601444,2024-11-05,"SE VENDE CASA RESIDENCIAL EXCLUSIVO FRACCIONAMIENTO, PACHUCA HGO",327,475,36697.247706422015,25263.157894736843,2023-04-21,437,14,2024-07-03,Casa,Venta,1,5,1,0,1.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-bd354d2725de-27a8-f41a6267-903e-34fd
53,,12000000,12000000,601444,2024-11-05,Venta de Casa Residencial en esquina Ex- Hacienda la Luz Pachuca,392,392,30612.244897959183,30612.244897959183,2022-12-16,562,18,2024-07-03,Casa,Venta,1,3,3,0,3.0,No,fraccionamiento,residencial dolores,pachuca de soto,hidalgo,residencial dolores,42084.0,"Fraccionamiento Residencial Dolores, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-2970176f7cf-aec7-59605cb8-bc68-308b
54,,12000000,12000000,601444,2024-11-05,"# Casa Amueblada en Residencial Dolores, 3 Pisos, 5 Recámaras. Pachuca, Hidalgo",460,250,26086.95652173913,48000.0,2023-12-13,200,6,2024-07-03,Casa,Venta,0,5,1,0,1.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-b254a97c0348-1ec5-bce831f6-98c5-45ff
55,,12000000,12000000,601444,2024-11-05,"Casa de 4 Recámaras con Amplio Jardín, Residencia La Moraleja Pachuca Hidalgo",530,530,22641.509433962263,22641.509433962263,2023-12-10,203,6,2024-07-03,Casa,Venta,1,4,3,0,3.0,No,,la moraleja,pachuca de soto,hidalgo,la moraleja,42064.0,"La Moraleja, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-3ce9f380e7e3-96d3-ed482c6a-b68d-4beb
