propiedad,tipo,precio,denominacion,visualizaciones,metros_total,metros_construido,banos,medio_banos,estacionamientos,recamaras,antiguedad,tiempo_de_publicacion,status_desarrollo,ubicacion,url,descripcion,latitud,longitud
"Casa en Venta en Fraccionamiento Pedregal de San Francisco, Tulancingo, Hidalgo",Casa,7700000,MXN,,343,405,2,2,0,3,17,Publicado desde ayer,venta,"Blvd Pedregal de San Francisco 623  , Pedregal de San Francisco , 43673 Tulancingo de Bravo, Hidalgo, México,  Fraccionamiento Pedregal de San Francisco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-fraccionamiento-pedregal-de-san-144670357.html,"Ref: 2 2 3 1 9 3Bienvenidos a esta increíble oportunidad de adquirir una casa en venta en Pedregal de San Francisco, en Tulancingo de Bravo, Hidalgo. Esta espaciosa propiedad cuenta con 3 recamaras, 2 baños completos, 2 medio baños y una construcción de 405 m2. Además, cuenta con comodidades como estacionamiento para visitas, bodega, área de lavandería, jardín, cuarto de servicio, sala de estar, cocina equipada, cuarto de TV, sala y comedor, y su propio salón de eventosPedregal de San Francisco es una zona tranquila y segura, con acceso restringido, seguridad las 24 horas y hermosas calles, perfecta para familias que buscan un ambiente residencial. Con una ubicación privilegiada y acceso inmediato a vías rápidas, este fraccionamiento permite trasladarse a cualquier punto de la ciudad facilitando la movilidad.No pierdas la oportunidad de vivir en esta maravillosa casa en una de las mejores zonas de Tulancingo de Bravo, ¡contáctanos para más información!",20.066180099999968,-98.401612299999996
Casa con 3 Recámaras y 121 m de Terreno en Fracc. Magisterio 2,Casa,1995000,MXN,67.0,121,175,3,0,1,3,3,Publicado hace 220 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-con-3-recamaras-y-121-m-de-terreno-en-fracc.-142787831.html,"La zona es tranquila, con acceso a todos los servicios, transporte público, cerca de escuelas públicas y privadas, a 10 min del centro de Tulancingo, a pocos metros de la carretera federal y autopista México-Tuxpan y Pachuca-Tulancingo.La casa de 2 niveles cuenta con:PLANTA BAJACocina con tarja.1 medio baño.Sala.Comedor.Cochera para 2autos.Estudio.Patio de servicio.PLANTA ALTA3 recámaras.1 baño completo.Área de lavado.Roof garden.AMENIDADESCisterna de 5,000 litros.Reja.Calentador solar.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.064759538603514,-98.406558036804213
"Casa en Privada Arboledas, Col Rancho Nuevo, Tulancingo",Casa,1695000,MXN,27,105,114,2,0,0,3,1,Publicado hace 268 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-privada-arboledas-col-rancho-nuevo-90417069.html,"Casa en Privada Arboledas, Fracc. Rancho Nuevo.Rancho Nuevo es una zona con excelente plusvalía que cuenta con todos los servicios, áreas verdes, zona tranquila y segura para comenzar un patrimonio con tu familia.Está a unos metros de carretera, escuelas públicas, privadas, salones de fiestas, tiendas locales y comerciales (SAMS, VIPS, CINES, OFFICE DEPOT, BANCOS,VETERINARIAS y demás.)Casa de dos plantas con la siguiente distribución:T. 105 m2C. 114 m2Amenidades:Alberca techadaAsadorFogateroCamellón central con área verdePlanta BajaGarageSalaComedorCocinaRecámara / EstudioBaño CompletoPatio posteriorÁrea de servicioPlanta AltaRecámara 1 con vestidor y terrazaRecámara 2 con vestidorBaño completoSe aceptan créditos hipotecarios, trámite SIN COSTODISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.079996211465775,-98.392910957336439
"Casa en Fraccionamiento Cerrado, Cima Dorada Tulancingo",Casa,950000,MXN,43,105,77,1,0,1,2,2,Publicado hace 285 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-fraccionamiento-cerrado-cima-dorada-142131581.html,"El fraccionamiento Cima Dorada cuenta con 2 acceso con caseta de vigilancia, pista para caminatas, área de asadores, cancha de basquetbol y área de juegos para niños.Ubicado a tan solo 5 minutos del centro de la cuidad,a un costado de la zona Arqueológica de Huapalcalco, muy cerca de clínicas médicas, hospitales, escuelas, establecimientos comerciales, central de autobuses, transporte público a una cuadra.La casa cuenta con:Sala-comedor.Cocina con tarja.1 baño completo.2 recámaras amplias.Patio de servicio.Cochera para 1 vehículos.Jardín interior artificial con acceso por sala comedor.AMENIDADES:Cisterna de 3,300 litrosTanque estacionario.Calentador de gas.Tinaco de 1,100 litros.Bomba de agua.Luminarias LED.*TAMBIEN CONTAMOS CON ELMODELO DETRES RECAMARAS POR ELCOSTO DE $980 MIL*Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.110183020892357,-98.359737396240248
"Casa Nueva en Privada San Daniel, Tulancingo Hidalgo",Casa,1150000,MXN,25,105,62,1,0,1,2,3,Publicado hace 216 días,venta,",  Fraccionamiento Privada san Daniel, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-en-privada-san-daniel-tulancingo-hidalgo-142803252.html,"CASA EN PRIVADA SAN DANIELCasa ubicada en Privada San Daniel muy cerca de la Unidad Deportiva, excelente ubicación a 10 min del centro de Tulancingo y a 5 min de la central de abastos.La zona cuenta con escuelas públicas y privadas (de educación básica, media, media superior y superior), parques cerca, gasolineras, tiendas de auto servicio, etc...La casa cuenta con:2 recámaras.Sala.Comedor.Cocina.1 baño.Área de lavado.Cochera para un vehículo.Cisterna.Construccion nueva.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090345299999999,-98.379709099999999
"Casa Nueva Modelo Carmesi, Valle Verde Tulancingo",Casa,868000,MXN,39,61,61,1,1,1,2,1,Publicado hace 37 días,venta,",  Fraccionamiento Valle Verde, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-modelo-carmesi-valle-verde-tulancingo-144373258.html,"Fracc. Residencial Rancho Santa clara se encuentra en Valle Verde, la cual es una zona inigualable, a unos pasos de mega comercial mexicana, plaza patio (centros comerciales, bancos, pizzería, cine, centros de reunión), y a 10 minutos del centro de la ciudad.El Fraccionamiento te ofrece una casa de dos nivelesamplia con las siguientes características:-Planta baja:CocinaSalaComedorMedio bañoEstacionamientoPatio de servicioÁrea de guardado y jardín-Planta Alta:2 Recámaras1 BañoPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
"Casa en Privada, Tulancingo de Bravo, Residencial Riva Palacio",Casa,3000000,MXN,28,200,170,3,0,1,2,2,Publicado hace más de 1 año,venta,",  La Escondida, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-privada-tulancingo-de-bravo-residencial-riva-90742672.html,"Casa Residencial en Privada Riva Palacio, en Col. La Escondida.La colonia La Escondida, se encuentra en la zona centro de la Ciudad de Tulancingo Hidalgo, a escasos 5 minutos del primer cuadro de la ciudad, ubicada en una zona tranquila y segura.La colonia cuenta con escuelas públicas y privadas, muy cerca del Colegio Pedro de Gante, cerca del parque infantil el Caracol, iglesia,a 8 minutos del centro Comercial Plaza Patio Tulancingo, donde podrás encontrar el supermercado, cine, office depot, Coppel, peter pizza, Sams, Vips, etc¦.La casa 1 nivel cuenta con:Sala.Comedor.Cocina.1 medio baño.2 recámaras grandes con vestidor.2 baños completos.Garaje para 1 auto.Cuarto de lavado.Amenidades:Tanque estacionario.Cisterna de 10,000 litros.Zaguán automático.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.079633450748332,-98.378791809082031
"Preventa de Casa de 3 Recamaras en Medias Tierras, Tualancingo",Casa,1800000,MXN,30,105,154,1,0,0,3,3,Publicado hace 64 días,venta,",  Plan de Ayala, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-preventa-de-casa-de-3-recamaras-en-medias-tierras-144168281.html,"La colonia Medias Tierras, cuenta con todos los servicios de luz, agua, drenaje, cable, internet;es un lugar tranquilo para estar con tu familia. Está a solo 8minutos del centro de la ciudad, a sus alrededores tiene escuelas públicas y privadas de educación básica, preparatoria y universidad de la UAEH, tiendas locales, farmacias, papelerías, tiendas de autoservicio, gasolineras, salones de fiesta, restaurantes, canchas deportivas, transporte público a pie de carretera a Tulancingo, Santiago, Cuautepec.La casa cuenta con:-Planta baja:CocinaComedorMedio bañoÁrea de servicioCochera para dos autos con reja   -Planta alta:3 habitacionesUn baño completoÁrea para vestidor-Amenidades:CisternaEscaleras para roof gardenPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
Promoción Precio Solo Pago de Contado,Casa,690000,MXN,36,92,60,1,0,1,2,2,Publicado hace 254 días,venta,",  Napateco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-promocion-precio-solo-pago-de-contado-142373569.html,"Casaen venta en Napateco, Fraccionamiento Los Arcos.La colonia cuenta con todos los servicios, en la zona encontrarás tiendas, establecimientos de comida, farmacias, Oxxo, gasolinera, espacios para realizar ejercicio al aire libre, parque para los pequeños de tu hogar, canchas para practicar algún deporte, guarderías, escuelas de nivel básico, universidad a solo 10 minutos de la colonia. El centro de Tulancingo está a solo 15 minutos de Napateco, cuenta con transporte directo a la colonia.La casa de 1 nivel cuenta con:Sala-comedor.Cocina forrada de azulejo y opción poner barra.1 baño completo forrado de azulejo.2 recámaras ampliasPatio de servicio con protección en techo.Cochera para un auto.Amenidades:Construcción tradicional.Cimentación de piedra, para 2do nivel.Ladrillo.Losa maciza.Boiler instantáneo (ahorro un 40% de gas)Se encuentran en construcción, se entregan completamente terminadas.Forma de pago: Solo pagos de contado.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.141351138260510,-98.338022232055678
Vendo Bonito Departamento,Departamento,739000,MXN,51,59,1,0,0,0,3,0,Publicado hace 51 días,venta,"BUGAMBILIAS,  Fraccionamiento Luis M. Ponce, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclappa-vendo-bonito-departamento-144271114.html,Bonito departamento muy cerca del centro de tizayuca a 2 cuadras de la central de abastos todos los colegios a 3 minutos todos los servicios agua luz drenaje,20.083298700000000,-98.371295900000000
En Venta Departamento,Departamento,740000,MXN,44,59,3,0,0,0,0,30,Publicado hace 44 días,venta,"Calle Luis M. Ponce,  Fraccionamiento Luis M. Ponce, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclappa-en-venta-departamento-144304783.html,BONITO DEPARTAMENTO EN VENTA A 10 MIN DEL CENTRO DE TULANCINGO CONTODAS LAS AMENIDADES QUE TE PUEDAS IMAGINAR STODO REMODELADO TOOS LOS SERVICIOS,20.083298700000000,-98.371295900000000
Casa en Privada Cerrada,Casa,6990000,MXN,25,480,460,4,2,0,5,20,Publicado hace 163 días,venta,"Centrica Casa en Calle Matamoros, Tulancingo Hidalgo.,  Felipe Angeles, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-privada-cerrada-143278025.html,"Casa con amplios espacios en calle privada sobre avenida principal y excelente ubicación, a solo una calle de la antigua Estación del Tren, 480 metros de terreno y 460 metros construidos con 200 metros de jardín, 5 recamaras incluida la recamara de servicio, 6 baños (4 completos y 2 medios baños) acceso principal con amplio vestíbulo que conecta con la sala de doble altura, el comedor, estudio, cocina y escaleras, la casa esta distribuida sobre 4 desniveles y cuenta con accesos independientes para las áreas de servicio, áreas comunes y áreas privadas. La cocina es muy espaciosa e incluye un espacio para despensa y desayunador con vista al jardín, la casa cuenta también con sala de TV, salón de fiestas, bodega, espacio para una oficina privada, un tapanco (estudio) que comunica dos recamaras con acceso a la terraza superior, chimenea, cochera eléctrica para dos autos, cuarto de lavado, patio trasero independiente, cisterna y riego por aspersión.             El mobiliario, el arte, los objetos de decoración, etc. No están incluidos en el PRECIO de VENTA o Renta del inmueble.Incluye muebles empotrados, cocina integral.En este precio publicado de VENTA  No están considerados costos y gastos adicionales de compra, como son el valor de escrituración, costos notariales e impuesto por traslado de dominio, e inscripciones en Registro Público, avalúos fiscales, En caso de adquirir el inmueble con créditos bancarios y/o INFONAVIT, se deberá tomar en cuenta costos por apertura de crédito, avalúos bancarios.Todas las medidas enunciadas son meramente orientativas, las medidas exactas serán las que se expresen en la respectiva escritura publica de cada inmueble. Todas las fotos, imagenes y videos son meramente ilustrativos y no contractuales. Los precios enunciados son meramente orientativos y no contractuales..",20.087245400000000,-98.377378300000003
En Venta Bonito Departamento,Departamento,750000,MXN,22,60,59,1,0,1,3,30,Publicado hace 53 días,venta,"B UGANBILIA,  Fraccionamiento Luis M. Ponce, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclappa-en-venta-bonito-departamento-144250742.html,"Se vende bonito deparetamento muy cerca de la central de abastos de tulancingo , a 5 min del centro de la ciudad, cuenta con una buena ubicaciontodo equipado",20.083298700000000,-98.371295900000000
Vendo Departamento,Departamento,741000,MXN,47,59,3,0,0,0,0,30,Publicado hace 47 días,venta,"LUIS M PONCE,  Fraccionamiento Luis M. Ponce, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclappa-vendo-departamento-144304843.html,SEVENDE DEPARTAMENTO 3 RECAMARS PLANTA BAJA TINE UN PATIO DE SERVICIOS BASTANTE AMPLI PATIO FRONTAL CON JARDIN CUENTA CON PROTECCIONES Y PUERTAS NUEVAS,20.083298700000000,-98.371295900000000
Venta de Casa a 5 Minutos del Centro de Tulancingo,Casa,1600000,MXN,41,134,124,2,1,0,3,18,Publicado hace 84 días,venta,"Calle Sevilla No 19,  Ex-Hacienda ExquitlAn, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcapa-venta-de-casa-a-5-minutos-del-centro-de-tulancingo-143975096.html,"Bonita casa construida en privada, muy cerca del centro de Tulancingo, la privada se encuentra frente a la UAEH prepa 2 y Universidades, a un paso de centro comercial. Casa de dos pisos, con bonito patío trasero, 2 tinacos para agua, gas estacionario. En perfectas condiciones. Tres recámaras, 2 baños y un baño medio, cocina, cuarto de lavado, sala y comedor amplios. Cuenta con seguridad privada.",20.070075265428230,-98.363507336715940
Casa en Venta Excelente Ubicación,Casa,1500000,MXN,32,1,1,1,0,1,3,1,Publicado hace 63 días,venta,"Prolongacion Luis M Ponce,  Caltengo, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcapa-casa-en-venta-excelente-ubicacion-144173053.html,"La casa cuenta con una excelente ubicación! Cerca escuelas, hospitales, supermercados, a 5 min en coche del centro de la ciudad. Cuenta con 2 plantas, tiene 3 recamaras, cocina, baño, sala comedor, garage para un coche y área de lavado, se encuentra dentro de una privada con portón eléctrico",20.096544700000000,-98.367617700000000
