id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,ubicacion,url
25,E1,422000,422000,23474,2024-10-02,"VENTA DE CASA EN ZACAPOAXTLA, GRANJAS DEL SUR, PUEBLA",270,180,1562.962962962963,2344.4444444444443,2024-02-10,298,9,2024-12-08,Casa,Venta,2,6,3,1,3.5,No,,Granjas Del Sur,Puebla,Puebla,"Granjas Del Sur, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-4e96648eb242-7509-58b28b9a-9c93-458a
26,E1,422000,422000,23474,2024-10-02,"VENTA DE CASA EN HACIENDA EL BATAN, RESIDENCIAL EX HACIENDA DEL ANGEL, PUEBLA PUEBLA",70,70,6028.571428571428,6028.571428571428,2024-04-17,231,7,2024-12-08,Casa,Venta,2,3,3,0,3.0,No,,San Angel,Puebla,Puebla,"San Angel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-37b0710a6664-8e59-2fbf35ae-b13a-4e8d
27,E1,422000,422000,23474,2024-10-02,VENTA DE HERMOSA CASA EN EXCLUSIVO FRACCIONAMIENTO EN PUEBLA,120,120,3516.6666666666665,3516.6666666666665,2024-03-22,256,8,2024-12-08,Casa,Venta,2,3,3,0,3.0,No,,San Angel,Puebla,Puebla,"San Angel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-4c4cf7d090d7-3c68-4fd25ef8-b1cb-4e2d
28,E1,432845,432845,24077,2024-10-02,"HERMOSA CASA EN PRIVADA, PUEBLA PUEBLA",140,120,3091.75,3607.0416666666665,2023-10-03,430,14,2024-12-08,Casa,Venta,1,4,2,1,2.5,No,,Banco de Puebla,Puebla,Puebla,"Banco de Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-1686bf4019fb-920f-8c59e88d-8b25-4ae2
29,E1,435000,435000,24197,2024-10-02,VENTA DE CASA EN PUEBLA COLONIA EX-HACIENDA DEL ANGEL,110,110,3954.5454545454554,3954.5454545454554,2024-06-17,171,5,2024-12-08,Casa,Venta,2,3,3,0,3.0,No,,San Angel,Puebla,Puebla,"San Angel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-68dbaf81f582-dbca-46fc9d62-a36e-4b31
30,E1,435000,435000,24197,2024-10-02,VENTA DE CASA EN PUEBLA PUEBLA,120,120,3625.0,3625.0,2024-04-04,244,8,2024-12-08,Casa,Venta,2,3,3,0,3.0,No,,San Angel,Puebla,Puebla,"San Angel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-cff7feb9fce9-2400-9a5e178d-861e-46c0
31,E1,435000,435000,24197,2024-10-02,VENTA DE HERMOSA CASA EN EXCLUSIVA ZONA DE PUEBLA,120,120,3625.0,3625.0,2024-03-22,256,8,2024-12-08,Casa,Venta,2,3,3,0,3.0,No,,San Angel,Puebla,Puebla,"San Angel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-7a1c381f951-4bd4-c8b59f0-a039-4f2f
32,E1,442000,442000,24586,2024-10-02,Venta de hermosa casa en Puebla,164,166,2695.121951219512,2662.6506024096384,2024-07-16,142,4,2024-12-08,Casa,Venta,2,3,2,1,2.5,No,,Plazas de Amalucan,Puebla,Puebla,"Plazas de Amalucan, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-6c5af3401b77-e473-190bce6-8c72-7278
33,E1,442000,442000,24586,2024-10-02,VENTA DE HERMOSA CASA EN PUEBLA  COL PLAZAS AMALUACAN,200,200,2210.0,2210.0,2024-07-03,155,5,2024-12-08,Casa,Venta,2,4,3,0,3.0,No,,Plazas de Amalucan,Puebla,Puebla,"Plazas de Amalucan, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-418359f71529-171f-19078f1-9458-7815
34,E1,450000,450000,25031,2024-10-02,"Casa en Venta en Plazas Amalucan, Puebla",200,400,2250.0,1125.0,2024-07-16,142,4,2024-12-08,Casa,Venta,2,5,4,0,4.0,No,,Bosques de San Sebastian,Puebla,Puebla,"Bosques de San Sebastián, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-fe4d11d57fc9-5cec-190bd61-b129-759c
