id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion
2570,,12000000.0,12000000.0,601444,2024-11-05,Casa de 4 recámaras en Venta en JARDINES DE ZAVALETA,600,631,20000.0,19017.43264659271,2023-04-24,589,19,2024-12-08,Casa,Venta,7,4,5,0,5.0,No,,jardines de zavaleta,puebla,puebla,jardines de zavaleta,72150.0,"Jardines de Zavaleta, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-5cad29e77135-2769-8cfdf5be-9748-3316,casa en venta con jardin amplio y 4 recamaras con bano bar cocina integral equipada desayunador estudio sala de tv area de lavado cuarto de servicio easybroker id ebfl7372
2571,,12000000.0,12000000.0,601444,2024-11-05,Santa Cruz Guadalupe - Calzada Zavaleta,1000,547,12000.0,21937.84277879342,2023-05-11,572,18,2024-12-08,Casa,Venta,4,3,3,0,3.0,No,,reforma,puebla,puebla,reforma,72160.0,"Reforma, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-26795691475d-3ff2-829b299f-85cd-3bae,casa residencial 3 niveles3 recamaras con bano sala de tvsala  comedor cocina integral y desayunador despacho terraza amplio jardin cuarto de servico y lavado cochera de 3 autos techada
2572,,12000000.0,12000000.0,601444,2024-11-05,"CASA EN VENTA EN FRACCIONAMIENTO QUETZALCOATL, ZONA RECTA CHOLULA",491,465,24439.918533604887,25806.451612903227,2024-05-09,209,6,2024-12-08,Casa,Venta,4,6,4,0,4.0,No,,angelopolis,puebla,puebla,angelopolis,72193.0,"Angelópolis, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-ac8e20ce629-2100-18f5d16-91f3-7a79,amplia residencia con jardin en esquina junto area verde en fraccionamiento con seguridad las 24 horas y en excelente zona recta a cholulacompuesta por dos casas habitacion edificadas en dos niveles conectadas en su interior en planta baja cuenta con sala comedor cocina integral con desayunador alacena vestibulo medio bano hall sala de estar oficina medio bano  patio de servicio lavanderia cuarto de servicio con bano bodega jardin muy amplio y estacionamiento abierto techado para dos autos ademas de  una cochera cerrada y techada para otro autoen planta alta ofrece hall family room recamara principal con amplio vestidor bano con jacuzzi y gimnasio dos recamaras secundarias con closet que comparten bano completo  ademas sala de tv con  balcon area de oficina con antecomedor barra de impresion cafe y acceso a terraza tipo roof garden con excelente vistaactualmente la segunda casa se adapto para oficina asi que puede adaptarse a casa para llegar a 6 recamarasen linden inmobiliaria nos caracterizamos por un trato y servicio de calidadcontactanos y agenda nuestros asesores te estan esperando para atenderte y resolver todas tus dudasprecio sujeto a cambios sin previo aviso no incluyen gastos notariales ni operacionales        tu propiedad nuestra prioridad
2573,,12000000.0,12000000.0,601444,2024-11-05,Casa fraccionamiento Puerta de Hierro,480,550,25000.0,21818.18181818182,2024-05-01,217,7,2024-12-08,Casa,Venta,4,3,2,1,2.5,No,,puerta de hierro,puebla,puebla,puerta de hierro,72130.0,"Puerta de Hierro, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-49d2a88a2931-94f7-ceb282f9-81ea-1fed,casa de un piso en venta fraccionamiento puerta de hierro terreno 480construccion 5502 habitaciones con closets1 habitacion con vestidor super grande 2 banos completos12 banosala tvdesayunadorcomedor sala cocinadespensacochera 2 cochesdespachocuarto de lavadocuarto y bano de servicio2 bodegasprecio 1200000000aceptamos y tramitamos cualquier tipo de credito documentos en regla cualqier credito
2574,,12000000.0,12000000.0,601444,2024-11-05,CASA EN VENTA UNA SOLA PLANTA 3 RECAMARAS FRACCIONAMIENTO PUERTA DE HIERRO,480,550,25000.0,21818.18181818182,2024-02-08,300,10,2024-12-08,Casa,Venta,4,3,2,1,2.5,No,,puerta de hierro,puebla,puebla,puerta de hierro,72130.0,"Puerta de Hierro, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-ff87de68e3ef-189c-dfe91e96-bedd-45db,exclusiva casa de un solo nivel en ventafraccionamiento puerta de hierrola zona con mayor plusvalia en pueblaexcelentes vias de accesola casa se encuentra a unos pasos de amenidades 480 m2 terreno 550 m2 construccion sala amplia comedor amplio antecomedor amplio cocina integral equipada salon de usos multiples independiente 2 banos completos mas 1 bano de cuarto de servicio 25 medios banos sala de tv amplia 3 recamaras principal con bano completo y amplio vestidor amplio jardin y otro jardin central area de lavado y cuarto de servicio 2 lugares de estacionamiento techados
2575,,12000000.0,12000000.0,601444,2024-11-05,RENTA/VENTA HERMOSA CASA EN PUERTA DE HIERRO. PUEBLA,490,575,24489.79591836735,20869.565217391304,2023-03-28,615,20,2024-12-08,Casa,Venta,4,4,3,0,3.0,No,,puerta de hierro,puebla,puebla,puerta de hierro,72130.0,"Puerta de Hierro, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-ad14888fa263-932c-db526c64-9df8-3946,hermosa casa de lujo en puerta de hierro pueblala casa cuenta con 575 mts de contruccionrecien remodelada con acabados modernos cuenta con una excelente ubicacion dentro del fraccionamientosala comedor amplios12 bano de visitascocina integral con area  para desayunador estudio o despacho terrazajardin de excelente tamano   con un kiosko  para area de asado  cuarto de servicio completolavanderiamini bar con 12 banosotanosala de tvlas escaleras cuentan con proteccion en vidrio templado la casa de encuentra en estado impecable  lista para habitar excelente oportunidad te invitamos a conocerla  vive en una de las colonias mas prestigiosas en puebla
2576,,12000000.0,12000000.0,601444,2024-11-05,"Casa en Venta en Col. Santa Cruz Guadalupe, Zavaleta, Puebla",500,625,24000.0,19200.0,2024-02-28,280,9,2024-12-08,Casa,Venta,4,3,5,1,5.5,No,,san jose del puente,puebla,puebla,san jose del puente,72150.0,"San José Del Puente, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-412131d69924-16ec-10955a84-a46b-4b5c,hamania te ofrececasa en venta ubicada en col santa cruz guadalupe zavaleta pueblasuperficiemetros de terreno 500 m2metros de construccion 625 m2la residencia cuenta conlobby doble alturacocina sala comedor 3 habitaciones5 12 banossala de tvestacionamiento techado2 bodegascuarto de servicioarea de lavadopatio de servicio jardinsalon social albercaspavaporhorno de pizzaagenda una visita para conocerlaprecio y disponibilidad sujetos a cambio sin previo aviso
2577,,12000000.0,12000000.0,601444,2024-11-05,CASA EN VENTA plaza cristal EL CERRITO PUEBLA,946,636,12684.989429175475,18867.924528301886,2024-05-22,196,6,2024-12-08,Casa,Venta,4,4,4,0,4.0,No,,el cerrito,puebla,puebla,el cerrito,72440.0,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-d60d2c7afa1a-ddd8-18f9ea7-aaa6-7bc3,casa en venta de amplios espacios con terraza alberca salon de juegos bar gimnasio y jardin en el cerrito puebla es de una sola planta y cuenta con 	cochera para 6 autos 	porton electrico 	recibidor 	sala 	comedor 	terraza amplia 	cocina equipada 	4 habitaciones 	4 banos completos 	12 bano 	1 bar 	2 cuartos de servicio 	1 cuarto de lavado 	3 bodegas 	gimnasio 	alberca amenidades  alberca gimnasio bar y jardin puntos de referencia a minutos de plaza crystal cerca de la universidad del valle de puebla y de trozmer a dos cuadras de blvd capitan carlos camacho espiritu y de la 16 de  septiembre prados  agua azul  63697 m2 construccion 946 m2 terreno el valor de venta no incluye gastos notariales avaluos impuestos yo comision de aperturaadministracion de  creditos hipotecariosnho6130378
2578,,12000000.0,12000000.0,601444,2024-11-05,CASA EN VENTA PUERTA DE HIERRO PUEBLA,480,550,25000.0,21818.18181818182,2024-02-22,286,9,2024-12-08,Casa,Venta,4,3,3,0,3.0,No,,puerta de hierro,puebla,puebla,puerta de hierro,72130.0,"Puerta de Hierro, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-dc10e70cd3ee-1af5-d891f26f-8c1f-37b2,casa de 1 planta con espacios amplios iluminados y abiertos ideales para la convivencia familiar con habitaciones y areas sociales con accesos directos a los 2 jardines y ubicada en exclusivo fraccionamiento con seguridad y amenidades en la ciudad de puebla primer nivel 	cochera techada con porton electrico para 2 autos con acceso a cocina y area de servicio 	amplio vestibulo que conecta areas sociales y privadas 	sala con chimenea y comedor con vista a jardin interno 	medio bano de visitas 	desayunador segundo comedor con acceso a jardin 	cocina integral con isla cubierta y salpicadera de granito doble tarja y cuarto de alacena	acceso a lavanderia y cuarto de servicio 	amplia sala de tv con vista al jardin 	habitacion principal con espacio para sala de tv amplio vestidor en segundo piso y acceso a jardin  2 habitaciones secundarias todas con closets y acceso al jardin 	bano completo compartido para las habitaciones secundarias segundo nivel 	amplia habitacion ideal para salon familiar cuarto de juegos u oficina con entrada independiente equipamiento remodelacion con pisos de marmol y ceramicos en areas sociales cocina y banos piso laminado en areas privadas mini splits en las 3 habitaciones  iluminacion led cristal templado en banos ventanas con persianas y mosquiteros hidroneumatico cisterna de 10 mil litros y paneles solares amenidades 	fraccionamiento con vigilancia 247 y circuito cerrado de video vigilancia 	areas verdes e infantiles canchas de padel tenis basquetbol voleibol futbol y running 	salon de usos multiples capilla puntos cercanos boulevard esteban de antunano y boulevard hno serdan 550 m2 construccion 480 m2 terreno el valor de venta no incluye gastos notariales avaluos impuestos yo comision de aperturaadministracion de  creditos hipotecarios                                nho5920289
2579,,12000000.0,12000000.0,601444,2024-11-05,"Casa en venta en campestre paraíso, zavaleta",427,600,28103.04449648712,20000.0,2023-09-07,456,15,2024-12-08,Casa,Venta,4,3,3,1,3.5,No,,santa cruz buenavista,puebla,puebla,santa cruz buenavista,72150.0,"Santa Cruz Buenavista, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-bf9a883cd355-4e21-ec03ca19-865d-1237,esta espaciosa y elegante casa ubicada en un prestigioso fraccionamiento de zavaleta es una joya que combina comodidad y lujo en un solo lugar desde el momento en que cruzas la puerta te daras cuenta de que esta propiedad es unica en su tipoen la planta baja encontraras una recamara principal de 70 metros cuadrados  con un amplio bano que incluye un vestidor  brindandote un oasis de privacidad y comodidad cuenta con un espacio para sala contigua que  complementa esta area ofreciendo un espacio adicional para relajacion o entretenimientola planta principal se distingue por su diseno de concepto tradicional donde una sala luminosa y amplia se conecta con un salon contiguo perfecto para eventos y reuniones familiares el comedor cuenta con un hermoso piso de duela que anade un toque de calidez y eleganciala cocina integral es un sueno para cualquier chef  un desayunador y una alacena bien equipada que facilita el almacenamiento ademas un cuarto de lavado y un cuarto de servicio estan convenientemente ubicados para tu comodidaden la planta alta encontraras dos recamaras adicionales  una con su propio bano brindando a tus invitados o familiares la privacidad que merecen ademas un acogedor espacio de television te permitira disfrutar de momentos de entretenimiento en familiaeste hogar es un verdadero refugio de lujo en zavaleta con un jardin que ofrece un espacio al aire libre donde relajarte y disfrutar de la naturaleza si buscas una propiedad que combine amplitud elegancia y comodidad en una de las zonas mas exclusivas de la ciudad esta casa es la eleccion perfecta no dejes pasar esta oportunidad unica
2580,,12000000.0,12000000.0,601444,2024-11-05,"Residencia en Venta en La Calera, Puebla residencial de lujo",1000,550,12000.0,21818.18181818182,2024-02-24,284,9,2024-12-08,Casa,Venta,4,3,7,0,7.0,No,,villa satelite la calera,puebla,puebla,villa satelite calera,72564.0,"Villa Satélite la Calera, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-1acf5940e563-a1f3-15d5a3ff-8919-367d,ref nex192553se vende una espectacular casa en villa satelite calera puebla puebla esta impresionante propiedad cuenta con un diseno muy elegante y concervador con una construccion de 550 m2 ideal para aquellas familias que buscan comodidad y elegancia la casa cuenta con 3 amplias recamaras cada una con su propio bano ademas de 7 banos completos y 2 medio banos distribuidos estrategicamente en la propiedadesta casa esta equipada con una infinidad de comodidades que haran la vida de sus residentes mas placentera entre ellas cuenta con area para gimnasio una chimenea perfecta para las noches frias un relajante jacuzzi un asador para los amantes del buen asado bodegas para almacenar todo lo necesario un estudio ideal para trabajar desde casa un area de lavanderia para mayor comodidad una cerca electrica para brindar seguridad y conexion a internet y wifi para mantenerse siempre conectadola propiedad cuenta tambien con amplias terraza perfectas para disfrutar del aire libre y organizar eventos y puertas electricas que brindan una mayor seguridad ademas tiene un cuarto de servicio closets en todas las habitaciones un cuarto de planchado una sala de estar para recibir invitados y acabados de lujo que le dan un toque de elegancia a cada rincon de la casala casa cuenta con una cocina equipada un cuarto de television ideal para disfrutar de momentos de entretenimiento en familia tambien cuenta con un sotano un amplio walkin closet en la recamara principal duchas exteriores para disfrutar del buen clima una sala y comedor espaciosa para compartir en familia un hermoso piso de marmol que realza la belleza de cada espacio y ademas es pet friendly permitiendo la convivencia de tus mascotasde todas estas comodidades esta propiedad esta ubicada en una zona privilegiada de villa satelite calera puebla puebla algunas de las zonas de interes cercanas incluyen el centro comercial centro sur donde se pueden encontrar tiendas restaurantes y actividades de entretenimiento para toda la familia tambien se encuentra cercana la buap una prestigiosa institucion educativa reconocida por su excelencia academica asi como escuelas importantes y de calidadlas vias de acceso a esta propiedad son muy convenientes como el circuito juan pablo ii y el periferico ecologico cerca de la casa brindando un facil y rapido acceso a la propiedad desde diferentes puntos de la ciudadnneximoinmobiliariadigital
2581,L1,12300000.0,12300000.0,616480,2024-11-05,"Residencia en Venta, Residencial San Ángel, Atrás de IBERO",319,386,38557.99373040752,31865.284974093265,2023-05-10,573,18,2024-12-08,Casa,Venta,4,4,4,1,4.5,No,,san angel,puebla,puebla,san angel,72500.0,"San Angel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-e5d088e54cc5-7ccf-841c9b99-8cda-4dad,residencia en ventaresidencial san angelsan andres cholula pueatras de universidad iberoinformes ver telefono whatsapp y whatsappplanta baja		cochera para dos autos techada		cochera para dos autos con domo		recibidor		despacho		recamara con bano y vestidor		medio bano lavabo exterior		estanciacomedor		cocinadesayunador		despensa		cuarto de lavado y planchado		patio de servicio		escalera de servicio		escalera principal		terraza descubierta		jardin posteriorplanta alta		recamara principal con bano y vestidor		dos recamaras y un bano de uso multiple		escalera principal escalera de servicio con acceso a la azotea cuarto de servicio con bano y guardarropa		sala de television		terraza		hall de distribucion		bodegasterreno 31860 m2construccion 38549 m2precio 1290000000
2582,L1,12300000.0,12300000.0,616480,2024-11-05,SE VENDE CASA EN PUEBLA EN LOMAS DEL VALLE CASA EN ENTORNO DE NATURALEZA,1214,450,10131.79571663921,27333.33333333333,2023-08-11,482,15,2024-12-08,Casa,Venta,4,3,3,1,3.5,No,,puebla,puebla,puebla,puebla,72270.0,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-35fef7f571fb-136f-8981a3cf-aced-4afb,se vende casa cuenta con 3 habitaciones closet 3 banos completos dos nievels construidos 10 anos de antiguedad caseta de vigilancia sala de estar comedor cocina integral desayunador alacena bodega camaras de seguridad cuarto de servicio con bano area de blancos area de lavado jardin 700 metros area de juegos terreza balcon vigilancia cisterna de 10000 litros porton automatico piso de ceramico areas verdes fibra optica precio sujeto a cambio
2583,L1,12326800.0,12326800.0,617823,2024-11-05,"Casona, en El Centro de Puebla, a 60 mts del nuevo andador turisco  (de la iglesia del carmen a Catedral)",1232,300,10005.51948051948,41089.333333333336,2023-04-20,593,19,2024-12-08,Casa,Venta,4,6,4,0,4.0,No,,el carmen,puebla,puebla,el carmen,72530.0,"El Carmen, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-dabbc4979b0f-764-bdd25edc-a927-402e,casona ubicada a 4 cuadras del catedral 2 cuadras de la arena puebla la vuelta del jardin del carmen es el primer cuadro de la ciudad cuenta con una excelente fachada de 2800 m  la cual tiene cantera y forja de herreria al 100 en su interior cuenta con 2 amplios patios el primero con piso de cantera de colores y una escalera principal en cantera en el segundo patio tiene una fuente tiene el 95 de sus muros  precio  1080000 x m2
2584,L1,12350000.0,12350000.0,618986,2024-11-05,"GRAN OPORTUNIDAD DE COMPRA  EN CLUB DE GOLF LAS FUENTES!!  600 metros de Terreno.  $12,350,000",573,600,21553.228621291448,20583.33333333333,2024-07-02,156,5,2024-12-08,Casa,Venta,4,3,3,1,3.5,No,,las fuentes,puebla,puebla,residencial las fuentes,72090.0,"Las Fuentes, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-b847c46b9a8-8934-1daeda39-85d0-10ac,residencia en venta en club de golf las fuentes puebla  oportunidadsuperficie de terreno 600 m2  superficie de construccion 573 m2 caracteristicas principalesplanta baja caseta de vigilancia con cuarto de servicio y bano completo amplia cochera para 4 autos grandes elegante recibidor cocina jardin interior sala comedor espaciosa amplio jardin exterior cuarto de maquinas estudio funcional medio bano para visitasplanta alta 3 recamaras todas con bano completo privado valor agregado valor de avaluo 1373000000 precio de oportunidad 1235000000ubicacion privilegiada situada en el exclusivo club de golf las fuentes facil acceso a vias rapidas cercana al centro comercial galerias serdanno dejes pasar esta increible oportunidad de vivir en una de las zonas mas exclusivas de puebla contactanos para mas informacion y agendar una visita
