id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,CP,ubicacion,url,descripcion
1026,C1,1800000,1800000,100125,2024-10-02,SE VENDE AMPLIA Y BONITA CASA POR PERIPLAZA,200,209,9000.0,8612.440191387559,2024-06-12,2,2024-09-01,Casa,Venta,1,3,2,0,2.0,No,,Guadalupe Hidalgo,Puebla,Puebla,0,"Guadalupe Hidalgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-1b083fccc862-488e-1900c71-8332-7d7f,la casa tiene 209 de construccion  y 200 mts de terreno  10 de frente y 20 de fondo 180000000tiene 3 recamaras  una de ellas con vestidorsala comedor ampliococina integral ampliacuarto de lavado y cuarto de servicio2 banos completos uno en planta alta y la otra en planta baja una pequena estancia como oficina al costado de la escalera pasillo de serviciocochera para un auto  patio trasero con un asador para carnes  esta ubicada en andador central 13508 fracc villa albertina puebla se aceptan todos los creditos y recursos propios agenda una cita ver telefono whatsapp
1027,C1,1800000,1800000,100125,2024-10-02,CASA NUEVA RESIDENCIAL CERCA NUEVA TERMINAL DEL SUR EN PUEBLA,74,74,24324.324324324323,24324.324324324323,2023-12-18,8,2024-09-01,Casa,Venta,1,3,3,0,3.0,No,,San Bernabe Temoxtitla,Puebla,Puebla,0,"San Bernabe Temoxtitla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-bbeb6773630c-9e2f-7f260129-b95e-1237,fraccionamiento nuevo ubicadas en castillotla a un costado de bodega aurrera atras de apolo gym 74 m2 terreno  114 de construccion  sala comedor1 recamara con closetcocina integral bano completo  terrazas primer nivel2 recamaras cada uno con bano completo  segundo nivelroof garden y area de lavado y tendido cisterna de 5000 litros terraza1800000
1028,C1,1800000,1800000,100125,2024-10-02,Casa En Venta en Romero Vargas Cerca De Forjadores,180,40642,10000.0,44.2891589980808,2023-05-13,15,2024-09-01,Casa,Venta,2,2,2,0,2.0,No,,Pueblo Nuevo,Puebla,Puebla,0,"Pueblo Nuevo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-5fdb4156b7f2-d601-aa6e1a5c-a14b-3822,casa en venta en romero vargas excelente ubicacion a pie de calle40642 mtsacceso rapido a blvd forjadores recta a cholula periferico y autopista puebla mexicodistribucion2 recamaras 2 banos cocina sala comedor area de lavado jardin estacionamiento para 6 autos cuenta con un salon aprox para 50 personas en la parte de arribapiso de cemento cisterna de 10000 litrosprecio y disponibilidad sujetos a cambio sin previo avisolas imagenes pueden ser ilustrativas
1029,C1,1800000,1800000,100125,2024-10-02,"Se vende bonita casa San Francisco Teotimehuacan cerca de Periférico Ecológico ,Universidad de CU",56,105,32142.85714285714,17142.85714285714,2024-01-25,7,2024-09-01,Casa,Venta,2,3,2,1,2.5,No,,Totimehuacan,Puebla,Puebla,0,"Totimehuacan, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-d2974639c629-e012-e53f0d96-b59d-47ed,se vende bonita casa san francisco teotimehuacancerca de periferico ecologico universidad de cucuenta con3 recamaras25 banoscocina integralsala comedorestacionamiento roof gardennv 2construccion 105m2terreno 56m2precio 1800000 solo contado o credito bancario mas gastos de tramitespara mayores informes contactanostel ver telefono whatsapp
1030,C1,1800000,1800000,100125,2024-10-02,"CASA EN VENTA EN PUEBLA DE ZARAGOZA, PUEBLA.",91,160,19780.21978021978,11250.0,2024-02-26,6,2024-09-01,Casa,Venta,1,3,2,0,2.0,No,,2 de Abril,Puebla,Puebla,0,"2 de Abril, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-ff8ec79a9ef7-5378-a9dc4e54-96ff-486f,excelente oportunidadexcelente ubicacion plusvalia y zonate ofrecemos todas las garantias y seguridad de tramiteconoce quienes somos aqui contactar
1031,C1,1804000,1804000,100347,2024-10-02,"Departamento en Punta Alta, Puebla, Angelópolis",90,90,20044.444444444445,20044.444444444445,2024-05-12,3,2024-09-01,Departamento,Venta,1,2,2,1,2.5,No,,Angelopolis,Puebla,Puebla,0,"Angelópolis, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-5210b9edb7b7-59-425dbac-a07a-4eca,cesion de derechos no se aceptan creditoste llevamos hasta la entrega fisica del inmuebleinicia este sencillo tramite con un pago inicial de 250000ahorra hasta un 50 quieres conocer masagenda tu cita en nuestro corporativo asesoria gratis
1032,C1,1804000,1804000,100347,2024-10-02,"Departamento en Punta Alta,Puebla",90,90,20044.444444444445,20044.444444444445,2024-05-13,3,2024-09-01,Departamento,Venta,1,2,2,1,2.5,No,,Puebla,Puebla,Puebla,0,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-84abb655d0a3-91da-c83c8702-827c-44e3,gran oportunidad departamento con 2 habitaciones 25 banos seguridad 247cerca de centros comerciales avenidas y escuelas
1033,C1,1810000,1810000,100681,2024-10-02,"DEPARTAMENTO EN VENTA DE 2 HABITACIONES EN FORJADORES 5MIN DE PLAZA SAN DIEGO, MIN DE PERIFERICO CON VISTA PANORAMICA A LOS VOLCANES ESTILO INDUSTRIAL CONTEMPORANEO.",103,103,17572.81553398058,17572.81553398058,2023-09-28,11,2024-09-01,Departamento,Venta,1,2,2,1,2.5,No,,Puebla,Puebla,Puebla,0,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-1f4f3c694efc-82fc-6f88ef94-8392-45b1,departamento en venta de 2 habitaciones en forjadores 5min de plaza san diego min de periferico con vista panoramica a los volcanes estilo industrial contemporaneo10315m2 de construccionsalacomedor muy amplio con increible vista a los volcanes1 habitacion principal con vestidor y bano completo1 habitacion secundaria con closet amplio y bano completo12 bano de visitasarea de lavado amplio1 cajon de estacionamientonivel 3 precio venta 1810000amenidadescaseta de vigilancia 247roof garden con asador  vista a los volcanes
1034,C1,1813845,1813845,100895,2024-10-02,"VENTA DE CASA EN FRACC CIPRESES DE MAYORAZGO, PUEBLA.",120,160,15115.375,11336.53125,2024-03-27,5,2024-09-01,Casa,Venta,2,3,1,1,1.5,No,,San Jose Mayorazgo,Puebla,Puebla,0,"San José Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-9f53ae923b44-23fe-1d72c678-8b77-42b1,inmobiliaria lider en remates bancarios tiene esta gran oportunidad de inversion para tu futuro cesion adjudicataria no litigioscesion ante notario publico y banco convenio financiero con instituciones bancariasentrega de 5 a 6 mesesno creditos como infonavit o fovissteagenda una cita hoy mismolic angeles 2228569641
1035,C1,1814000,1814000,100904,2024-10-02,"DEPARTAMENTOS EN VENTA EN ANDALUCÍA, ZONA CEMENTOS ATOYAC",86,86,21093.023255813954,21093.023255813954,2024-05-09,3,2024-09-01,Departamento,Venta,1,2,2,0,2.0,No,,Pino Suarez,Puebla,Puebla,0,"Pino Suárez, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-71a7f904b310-206a-18f5e4b-9e5c-7c24,amplios departamentos en preventa desde 1814000zona antigua cementera cerca de galerias serdan tec milenio y vias rapidasen estos departamentos podras disfrutar de sala comedor cocina integral con concepto abierto dos recamaras con dos banos completos y un espacio de estacionamientose encuentra en fraccionamiento privado con vigilancia las 24 horasareas comunes salon de usos multiples gimnasio juegos infantiles areas verdes y roof comunen linden inmobiliaria nos caracterizamos por un trato y servicio de calidadcontactanos y agenda nuestros asesores te estan esperando para atenderte y resolver todas tus dudasprecio sujeto a cambios sin previo aviso no incluyen gastos notariales ni operacionales                tu propiedad nuestra prioridad
