id,categoria,precio,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,meses_transcurridos,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,url
31,C1,1964872,"Casa en venta en Residencial. Almicar, Tulancingo de Bravo ¡Compra esta propiedad mediante Cesión de Derechos e incrementa tu patrimonio! ¡Contáctame, te digo cómo hacerlo!",92,140,21357.304347826088,14034.8,5,Casa En Condominio,Venta,1,3,1,0,1.0,No,Tollancingo,0,https://www.lamudi.com.mx//detalle/41032-73-526a378a978c-5d9a-b257c431-9517-4c07
32,C1,1930000,"CASA EN VENTA EN PRIVADA VICTORIA, EN MEDIAS TIERRAS, TULANCINGO",125,144,15440.0,13402.777777777776,12,Casa En Fraccionamiento,Venta,0,3,2,0,2.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-8251aff19fca-ef3-5d8fb87-b771-3968
33,C1,1890000,CASA EN TULANCINGO A 45 MIN DE LA CIUDAD DE MEXICO,80,140,23625.0,13500.0,11,Casa,Venta,0,2,2,0,2.0,No,Conjunto Habitacional Los Mesones,0,https://www.lamudi.com.mx//detalle/41032-73-252d3fdc1b9d-6034-cb024130-8ca5-3fa2
34,D3,1712133,Departamento residencial de preventa en Mineral de la Reforma Hgo.,82,82,20879.67073170732,20879.67073170732,17,Departamento,Venta,1,2,1,0,1.0,No,Mineral de la Reforma,0,https://www.lamudi.com.mx//detalle/41032-73-26b7b429c361-c148-d94730b0-ad64-355c
35,D3,1700000,Se VENDE casa en Ampliación Rojo Gómez Tulancingo Hidalgo,120,120,14166.666666666666,14166.666666666666,8,Casa,Venta,1,2,2,0,2.0,No,Ampliación Javier Rojo Gómez,0,https://www.lamudi.com.mx//detalle/41032-73-b3b07a6e0fe-21ef-d909e739-8994-3a1c
36,D3,1600000,VENTA DE CASA CENTRICA AMPLIA CON JARDIN 4 RECAMARAS EN TULANCINGO HIDALGO,178,178,8988.76404494382,8988.76404494382,1,Casa,Venta,1,4,1,0,1.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-43377c90abcd-3a87-51018c29-a91c-1f40
37,D3,1530000,"Casa en Tulancingo, Medias Tierras de 2 niveles, con garaje techado.",178,220,8595.505617977527,6954.545454545455,8,Casa,Venta,0,4,1,0,1.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-9571cd0e94a5-bbc0-b04d045b-bb6b-4703
38,D3,1523793,Departamento en venta Portezuelos,80,80,19047.4125,19047.4125,12,Condominio Horizontal,Venta,1,2,1,0,1.0,No,Villas del Álamo,0,https://www.lamudi.com.mx//detalle/41032-73-14be0c0d503c-8e25-10a3f736-9105-31ce
39,D2,1450000,VENTA DE CASA ECONOMICA Y CENTRICA AMPLIA CON 4 RECAMARAS EN TULANCINGO,128,128,11328.125,11328.125,2,Casa,Venta,1,4,1,0,1.0,No,20 de Noviembre,0,https://www.lamudi.com.mx//detalle/41032-73-7b50f7d88d98-24f9-6f9f5e99-bf7b-1f12
40,D2,1450000,"PREVENTA Casa de 3 niveles con sala doble altura, en Medias Tierras",142,135,10211.267605633802,10740.74074074074,1,Casa,Venta,0,3,3,0,3.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-c41ce8c5e371-728-831364f-a0d9-477b
