Occupation,Workforce,Monthly Wage,lastPeriod,diferencia,diferencia_2,Salario_Variables,volumen,pareja,categoria_persona,categoria_pareja
Ingenieros Mecánicos,1782,17625.36,8461.54,9163.82,0.48,17625.36,31408391.52,29963.11,E1,D1
Ingenieros Industriales,1143,3618.55,4633.97,-1015.42,1.28,4633.97,5296627.71,7877.75,G,F
Ingenieros Civiles y de la Construcción,2205,1460.68,5795.29,-4334.61,3.97,5795.29,12778614.45,9851.99,F,F1
"Ingenieros en Topografía, Hidrología, Geología y Geodesia",216,4583.33,28000.0,-23416.67,6.11,28000.0,6048000.0,47600.0,D1,B1
"Arquitectos, Planificadores Urbanos y del Transporte",1451,7529.67,5728.63,1801.04,0.76,7529.67,10925551.17,12800.44,F,E
Desarrolladores y Analistas de Software y Multimedia,6799,13030.15,8462.99,4567.16,0.65,13030.15,88591989.85,22151.25,E,D
Administradores de Bases de Datos y Redes de Computadora,34,0.0,16153.35,-16153.35,0.0,16153.35,549213.9,27460.7,E1,D1
Ingenieros en Comunicaciones y Telecomunicaciones,150,24120.0,4106.67,20013.33,0.17,24120.0,3618000.0,41004.0,D,B
Supervisores e Inspectores Educativos,2332,6634.65,19794.78,-13160.13,2.98,19794.78,46161426.96,33651.13,E1,C
"Pedagogos, Orientadores Educativos y otros Especialistas en Ciencias Educativas",358,13128.49,10218.45,2910.04,0.78,13128.49,4699999.42,22318.43,E,D
Profesores Universitarios y de Enseñanza Superior,2090,11637.2,11277.87,359.33,0.97,11637.2,24321748.0,19783.24,F1,E1
Profesores de Preparatoria y Equivalentes,5788,8615.92,6788.07,1827.85,0.79,8615.92,49868944.96,14647.06,F1,E
Profesores de Enseñanza Secundaria,10840,7744.02,8151.61,-407.59,1.05,8151.61,88363452.39999999,13857.74,F1,E
Profesores de Enseñanza Primaria,20001,6036.02,9088.33,-3052.31,1.51,9088.33,181775688.33,15450.16,F1,E
Profesores de Enseñanza Bilingüe (Indígena),249,13600.0,0.0,13600.0,0.0,13600.0,3386400.0,23120.0,E,D
Profesores de Enseñanza Preescolar,3057,7779.72,4622.65,3157.07,0.59,7779.72,23782604.04,13225.52,F,E
Médicos Generales y Familiares,8164,15722.28,19200.9,-3478.62,1.22,19200.9,156756147.60000002,32641.53,E1,C
Médicos Especialistas,4377,9241.94,3407.4,5834.54,0.37,9241.94,40451971.38,15711.3,F1,E
Especialistas en Medicina Tradicional y Alternativa,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Enfermeras Especialistas,336,7961.31,21707.2,-13745.89,2.73,21707.2,7293619.2,36902.24,D,C1
Farmacólogos,145,16240.0,30000.0,-13760.0,1.85,30000.0,4350000.0,51000.0,C,A
"Auxiliares en Administración, Mercadotecnia, Comercialización y Comercio Exterior",8171,6961.68,7707.98,-746.3,1.11,7707.98,62981904.58,13103.57,F,E
"Auxiliares en Contabilidad, Economía, Finanzas y Agentes de Bolsa",6502,6119.74,5625.9,493.84,0.92,6119.74,39790549.48,10403.56,F,F1
Oficiales del Ministerio Público y Detectives,361,9660.39,15130.73,-5470.34,1.57,15130.73,5462193.53,25722.24,E,D1
Agentes Aduanales y Fronterizos,85,20000.0,0.0,20000.0,0.0,20000.0,1700000.0,34000.0,D,C
Agentes de Recaudación Tributaria y de Licencias,88,14000.0,15000.0,-1000.0,1.07,15000.0,1320000.0,25500.0,E,D1
Auxiliares en Ciencias Sociales y Humanistas,4159,6057.99,6355.03,-297.04,1.05,6355.03,26430569.77,10803.55,F,F1
Auxiliares en Servicios Jurídicos,1174,1504.28,3604.67,-2100.39,2.4,3604.67,4231882.58,6127.94,G,F
Monjas y Predicadores,249,1720.0,0.0,1720.0,0.0,1720.0,428280.0,2924.0,G,G
Diseñadores Industriales,1523,10586.97,0.0,10586.97,0.0,10586.97,16123955.309999999,17997.85,F1,E1
Diseñadores Gráficos,391,6308.7,12179.36,-5870.66,1.93,12179.36,4762129.76,20704.91,E,D
"Decoradores de Interiores, Jardines y Diversos Materiales (Tazas, Llaveros, Etcétera)",366,21500.0,1056.14,20443.86,0.05,21500.0,7869000.0,36550.0,D,C1
"Payasos, Mimos y Cirqueros",49,8600.0,19350.0,-10750.0,2.25,19350.0,948150.0,32895.0,E1,C
"Auxiliares y Técnicos en Ciencias Biológicas, Químicas y del Medio Ambiente",57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Auxiliares y Técnicos en Veterinaria, Pesca y Forestación",1553,3825.79,0.0,3825.79,0.0,3825.79,5941451.87,6503.84,G,F
Auxiliares y Técnicos Industriales y Químicos,1560,6466.54,0.0,6466.54,0.0,6466.54,10087802.4,10993.12,F,F1
"Auxiliares y Técnicos Topógrafos, en Hidrología y Geología",298,12073.49,0.0,12073.49,0.0,12073.49,3597900.02,20524.93,E,D
"Auxiliares y Técnicos Mineros, Metalúrgicos y Petroleros",710,16000.0,0.0,16000.0,0.0,16000.0,11360000.0,27200.0,E1,D1
Auxiliares y Técnicos en Construcción y Arquitectura,684,2649.12,9687.96,-7038.84,3.66,9687.96,6626564.64,16469.53,F1,E1
Dibujantes Técnicos,628,8600.0,0.0,8600.0,0.0,8600.0,5400800.0,14620.0,F1,E
"Supervisores de Mecánicos y Técnicos en Mantenimiento y Reparación de Equipos Mecánicos, Vehículos de Motor, Instrumentos Industriales y Equipo de Refrigeración",1318,1234.54,10385.41,-9150.87,8.41,10385.41,13687970.379999999,17655.2,F1,E1
Técnicos en Mantenimiento y Reparación de Vehículos de Motor,1038,9248.73,10750.0,-1501.27,1.16,10750.0,11158500.0,18275.0,F1,E1
Mecánicos en Mantenimiento y Reparación de Vehículos de Motor,13976,9417.53,8507.93,909.6,0.9,9417.53,131619399.28000002,16009.8,F1,E1
Técnicos en Mantenimiento y Reparación de Maquinaria e Instrumentos Industriales,1587,6895.8,9096.67,-2200.87,1.32,9096.67,14436415.290000001,15464.34,F1,E
Mecánicos en Mantenimiento y Reparación de Maquinaria e Instrumentos Industriales,8666,6860.25,17140.18,-10279.93,2.5,17140.18,148536799.88,29138.31,E1,D1
Mecánicos en Mantenimiento y Reparación de Instrumentos de Precisión y Musicales,671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Técnicos en la Instalación, Reparación y Mantenimiento de Equipos de Refrigeración, Climas y Aire Acondicionado",97,0.0,25000.0,-25000.0,0.0,25000.0,2425000.0,42500.0,D1,B
"Supervisores de Técnicos Eléctricos, en Electrónica y de Equipos en Telecomunicaciones y Electromecánicos",810,20750.62,17020.31,3730.31,0.82,20750.62,16808002.2,35276.05,D,C1
Técnicos Eléctricos,1343,5063.29,6764.63,-1701.34,1.34,6764.63,9084898.09,11499.87,F,F1
Electricistas y Linieros,7907,6484.25,3092.34,3391.91,0.48,6484.25,51270964.75,11023.22,F,F1
"Técnicos en Instalación y Reparación de Equipos Electrónicos, Telecomunicaciones y Electrodoméstico (Excepto Equipos Informáticos)",1139,4126.34,2008.4,2117.94,0.49,4126.34,4699901.26,7014.78,G,F
"Trabajadores en Instalación y Reparación de Equipos Electrónicos, Telecomunicaciones y Electrodoméstico (Excepto Equipos Informáticos)",594,6652.42,18631.27,-11978.85,2.8,18631.27,11066974.38,31673.16,E1,C
Trabajadores en Reparación de Equipos Electromecánicos,762,2488.19,8406.5,-5918.31,3.38,8406.5,6405753.0,14291.05,F1,E
