id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,ubicacion,url,descripcion
137,S2,6995000,6995000,389096.56,2024-09-17,casa en esquina3 niveles excelentes acabados,236,560,29639.830508474577,12491.07142857143,2023-09-18,11,2024-09-17,Casa,Venta,2,5,7,0,7.0,No,real del valle,42082,real del valle,https://www.lamudi.com.mx/detalle/41032-73-33eb0f192303-569f-f749d059-a367-1237,venta casa de 3 niveles en esquina real del valleterreno 236m2 construccion 560m2pbsala en desnivelcomedor con boveda catalanacocina muy grande con alacena grande y cava subterranea bano de visitas ampliodespacho amplio con closet y librero gran formato opcionalescaleras amplias de cantera con barandal decorativo de herreriagarage cubierto para 2 autos con puertas automatizadas independientes para cada autojardin con bodeguita1er nivel 2 recamaras secundarias con vestidor y banorecamara principal con vestidor bano con tina y balconcalentadores infrarrojos empotrados en cada recamara persianas blackout y traslucida en cada recamarasala family room ampliacloset de blancos y maletero independiente2do nivel cuarto de juegos amplio con 12 bano que puede funcionar como recamaracuarta recamara con bano completobodega ampliaterraza amplia con espacio para asadorcancel que separa areas de serviciocuarto de servicio con bano completoarea de lavado techada con instalaciones para lavadoraboiler automaticoarea de tendidopuertas principales de herreriafachadas exteriores con detalles en cantera cisterna de 10000 lts azoteapaneles solarescalentador solar de gran capacidadtinaco de 1000 ltsmonto de inversion 6995000
138,S2,6995000,6995000,389096.56,2024-09-17,casa residencial en venta pachuca,240,365,29145.833333333332,19164.383561643837,2023-04-21,16,2024-09-17,Casa,Venta,2,3,3,0,3.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-c1decdd66f92-bd5f-fbf5eff2-aa0a-365e,ubicada en fraccionamiento residencial los angeles sobre blvd bonfil en pachuca de soto siendo unos de los fraccionamientos modernos con proyectos de casas modernista y servicios ocultos cuenta con amenidades como areas verdes con pista para correr juegos infantiles y salon de usos multiples con gimnasiocasa de 3 niveles en un estilo modernista con rooft garden y patio de servicio construida con materiales de primera calidad y con una estructura de tabique rojo y losa maciza cuenta con despachorecibidor cocina comedor  sala trs recamaras con bano completo cada una y la principal con su vestidor y bano con jacuzziexcelente oportunidad de vivienda nueva
139,S2,6990000,6990000,388818.44,2024-09-17,se vende casa en zona plateada camino real de la plaza,370,340,18891.891891891893,20558.823529411766,2023-04-21,16,2024-09-17,Casa,Venta,2,5,1,0,1.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-fcd4aa4b672f-a382-ac29b58d-9710-3f2b,hermosa residencia en venta con jardin muy amplio y roof garden primer nivel sala comedor cocina  desayunador alacena estudio 12 bano jardin amplio 2 espacios de estacionamientosegundo nivel 1 recamara principal con vestidor bano completo y terraza 3 recamaras jr con closet y bano cada unatercer nivel 1 recamara con bano completo  area de lavado y tendido roof garden
140,S2,6950000,6950000,386593.44,2024-09-17,venta de lujosa casa en jade residencial pachuca por zona plateada,200,330,34750.0,21060.60606060606,2023-04-24,16,2024-09-17,Casa,Venta,1,4,4,0,4.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-930819acd6b5-970d-9ec4afef-b4ec-3e54,jade residencial es una privada que cuenta con sus propias amenidad como cancha de paddel salon de usos multiples y albercaacceso controlado por medio de qrterreno 200m2construccion 330m2primer nivelsalacomedor12 banolobbycocina integralbodegarecamara con bano y vestidoramplio jardin trasero con aspersores de riego automaticocochera para 2 o 3 autossegundo nivel recamara principal con vestidor y bano 2 recamaras con bano sala de tvtercer nivel roof garden area para asador lavanderia patio de tendido
141,S2,6950000,6950000,386593.44,2024-09-17,zona plateada tu casa con recamara en planta baja,217,280,32027.649769585252,24821.428571428572,2023-04-21,16,2024-09-17,Casa,Venta,2,3,3,0,3.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-275033e42c9e-84b-428e919a-a778-313b,vive en una de las privadas mas exclusivas de zona plateada a solo unos minutos de colegios restaurantes galerias pachucaplanta bajagarage semi cubiertosala comedorcocina italiana con cubierta de cuarzo doble alturabano de visitasarea de servicio techado con acceso desde el exteriorjardin interiorrecamara principal con vestidor y bano completo con vista al jardinplanta altavestibulorecamara junior con balcon y bano completorecamara junior con bano completoequipamientococina con cubierta de cuarzo y tarja platospuertas de encino y cedrocisterna de 19000camaras de vigilancia
142,S2,6900000,6900000,383812.19,2024-09-17,venta casa residencial arboledas de san javier pachuca,380,380,18157.894736842107,18157.894736842107,2024-06-03,3,2024-09-17,Casa,Venta,2,4,4,0,4.0,No,arboledas san javier 2da secc,42034,arboledas san javier 2da secc,https://www.lamudi.com.mx/detalle/41032-73-8bcb2c1a7752-15fa-7eb49e97-9e2f-3631,venta de casa residencial en arboledas de san javier privada el sauce terreno 324 m construccion 380 m2 planta baja sala comedor muy amplios estudio medio bano cocina integral amplia equipada alacena jardin amplio salida de servicio primer piso 3 recamaras cada una con bano completo y vestidor recamara principal con vestidor y bano con jacuzzi para 1 persona segundo piso 1 recamara con closet y bano completo rea de lavanderia y patio de servicio roof garden extras tinaco cisterna calentador rea de lavado techado con poli carbonato jardin amplio balcones en las recamaras
143,S2,6800000,6800000,378249.7,2024-09-17,casa en venta o renta sin muebles en valle de san javier pachuca hidalgo,250,348,27200.0,19540.22988505747,2023-12-11,9,2024-09-17,Casa,Venta,1,3,3,0,3.0,No,valle de san javier,42086,valle de san javier,https://www.lamudi.com.mx/detalle/41032-73-548e29a851f8-538e-d50cde71-89fb-4186,casa en venta o renta sin muebles de 3 pisos en privada en el fraccionamiento residencial valle de san javier a 3 minutos de plaza galerias pachuca en la zona de mayor plusvalia y desarrollo de la ciudad de pachucaprecio de renta mensual  2800000 mxnprecio de venta  680000000 mxnsuperficie de terreno 250 m2superficie de construccion 348 m2informes y citasver telefono whatsapp y whatsapp via llamada o whatsappinformacion aqui httpswamewhatsapphttpswamewhatsappvisita nuestra pagina en facebookcontactarrequisitos copia de ine comprobante de domicilio comprobante de ingresos o estado de cuenta bancario actual firma de pagares por 12 meses todos estos requisitos seran solicitados al interesado en rentar y a un fiador o aval con una propiedad a su nombre y que sea originario de la ciudad de pachuca el pago inicial corresponde al primer mes de deposito mas 2 depositos en garantia del mismo monto a dos meses de rentadistribucionplanta bajacochera para 2 vehiculossalacomedorcocina equipadaestudiosala de entretenimiento1 medio banopatio de servicio con medio banoarea para minibarjardin posterior propiedad del fraccionamientoprimer nivelrecamara principal con bano completo tina de hidromasaje vestidor y terraza2 recamaras con bano completo cada una y closetssala de entrenamientoterrazasegundo nivel cuarto de lavado y planchado cuarto de servicio con closet y bano completo bodegas para almacenamientoamenidadesubicada dentro de una privadadoble tinacoclosets de madera en recamarascocina integralcisterna de 10 m3 con bombaa 3 minutos de la plaza galerias pachuca y de la central de abasto y de autobusestransporte y escuelas a la mano
144,S2,6800000,6800000,378249.7,2024-09-17,casa en venta valle de san javier pachuca hidalgo,184,235,36956.52173913043,28936.17021276596,2023-11-29,9,2024-09-17,Casa,Venta,2,3,1,0,1.0,No,exhacienda de coscotitlan,42064,exhacienda de coscotitlan,https://www.lamudi.com.mx/detalle/41032-73-be3cc7044214-e122-a4b5ed3f-b8c5-305c,hermosa casa en venta en exhacienda de cuesco san javier espacios amplios y minimalistas con bonitos acabados y excelente ubicacionplanta baja recibidor bano de visitas sala comedor cocina equipada y desayunador jardin con vista desde la sala comedorplanta alta sala de tv dos recamaras junior con closet y bano completo amplia recamara principal con bano completo closet y pequeno estudioestacionamiento para dos vehiculos cuarto y patio de serviciodisfruta de las areas verdes seguridad y salon de fiestas que ofrece la privada junto con su privilegiada ubicacionagenda una cita y descubre todo lo que esta casa tiene para ofrecerte easybroker id eblx2102
145,S2,6700000,6700000,372687.2,2024-09-17,se vende casa en fraccionamiento la moraleja en pachuca hidalgo,200,310,33500.0,21612.90322580645,2023-06-27,14,2024-09-17,Casa,Venta,2,3,3,0,3.0,No,la moraleja,42080,la moraleja,https://www.lamudi.com.mx/detalle/41032-73-42e7b408a4ea-cea8-9e9cd144-86cf-3f47,ref nex171855se vende casa moderna de 3 niveles en el fraccionamiento la moralejael fraccionamiento la moraleja tiene una excelente ubicacion ya que cuenta con dos accesos el principal con su caseta de acceso para colonos  sobre el boulevard colosio cuenta con vigilancia las 24 horas y el segundo acceso con caseta de vigilancia en la calle lateral para visitas el fraccionamiento se encuentra cerca tiendas de autoservicio escuelas universidades y comercio en generalel fraccionamiento cuenta con areas verdesla casa es moderna con espacios amplios y alturas de 3 mts cuenta con excelentes acabados y estado de conservacion como nuevaplanta baja cochera para dos autos vestibulo de acceso el interior de la casa esta perfectamente iluminado y ventilado con vista de todas las zonas al jardin interior cuenta con sala comedor  desayunador cocina integral equipada area de lavado medio bano y su amplio jardin el cual la hace una casa privilegiadaprimer nivel recamara principal muy amplia con una division que mantiene privada el area de dormir con el area de bano vestidorel vestidor es muy amplio con una isla central y el bano cuenta con doble lavabo regadera cerrada y wc cerradocuenta con dos recamara secundarias cada una con su bano y closet el segundo nivel es espectacular muy amplio tiene area de gimnasio area de juegos area de jacuzzi y una terraza socialacabados pisos y azulejos interceramic de primera carpinteria de madera ventanales de aluminio persianas sheer elegance en toda la casa canceleria de cristal templadonneximoinmobiliariadigital
146,S2,6690000,6690000,372130.95,2024-09-17,casa en venta zona plateada,216,342,30972.222222222223,19561.40350877193,2024-02-13,7,2024-09-17,Casa,Venta,2,4,1,0,1.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-8bb776879595-1764-7ba29aa0-9260-4291,bienvenidos a esta encantadora casa de dos pisos con iluminacion natural perfecta para aquellos que buscan comodidad y espacio para toda la familia ubicada en una zona residencial de pachuca de soto hidalgo mexicoal ingresar seras recibido por una amplia sala de estar ideal para relajarte o recibir visitas justo al lado encontraras una espaciosa cocina equipada esta cocina es el corazon del hogar donde se pueden crear deliciosas comidas y momentos inolvidables en familiaen el primer piso tambien encontraras un area de comedor con una vista al jardin con un asador para disfrutar en familia y para que los ninos jueguen libremente asi como un espacio para degustar un buen vino y realizar juegos de mesasubiendo las escaleras llegaras al segundo piso donde se encuentran las cuatro recamaras y el cuarto de tv tres de las habitaciones cuenta con su propio closet brindando un amplio espacio de almacenamiento para la ropa y otros articulos personalesel cuarto principal es un santuario de tranquilidad con suficiente espacio para una cama kingsize y muebles adicionales ademas cuenta con un bano privado completo con todas las comodidades modernas para que puedas relajarte y rejuvenecer despues de un largo dia y un amplio vestidorcon su diseno funcional amplias habitaciones y ubicacion conveniente esta casa de dos pisos es verdaderamente un hogar perfecto para toda la familia no pierdas la oportunidad de hacer de este maravilloso lugar tu nuevo hogar
147,S2,6650000,6650000,369905.95,2024-09-17,casa en venta en rincon esmeralda zona plateada,308,308,21590.909090909092,21590.909090909092,2023-11-16,10,2024-09-17,Casa,Venta,2,3,1,0,1.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-59b80677f810-8465-39614259-9a10-1237,casa en venta en rincon esmeralda zona plateadacasa en venta en privada rincon esmeralda  via doradaplanta bajaestudiomedio banococinaestanciacomedortraspatio con jardin amplio con pergoladoplanta alta3 recamaras cada una con vestidor2 banos completosterrazaacabados de lujoequipamientocisterna de 10000 ltshidroneumatico silenciosocuarto de lavadomt2 terreno 308mt2 de construccion 2206650000en privada con vigilancia las 24 hrs del diazona de alta plusvalia
148,S2,6500000,6500000,361562.21,2024-09-17,se vende casa en fracc valle del sol 2da pachuca hidalgo,308,442,21103.896103896102,14705.882352941177,2023-11-01,10,2024-09-17,Casa,Venta,2,5,5,0,5.0,No,pachuca de soto,42080,pachuca de soto,https://www.lamudi.com.mx/detalle/41032-73-5515374841fd-f949-2ab0ab23-a964-3883,ref nex186962te presentamos esta magnifica casa en venta oportunidad en la exclusiva zona residencial de valle del sol 2da seccion a ubicada en pachuca de soto hidalgo con un total de 442 m2 de construccion y 308 m2 de superficie esta propiedad cuenta con amplios espacios y excelentes acabados para brindar confort y comodidad a toda tu familia cuenta con filtros de seguridad para acceder tu hogar debe ser el lugar mas segurocaracteristicas1 recamara principal cuenta con un practico walkin closet bano completo sauna caja fuerte terraza interconexion con gym y estudio4 recamaras equipadas con closets funcionales y espaciosos banos completos y caja fuerte cada una la casa ideal para quienes gustan de trabajaresta casa abre sus puertas y nos recibe una espaciosa sala recibidorantecomedor con un gran ventanal que da acceso a un solar y a su vez al cuarto de lavanderiala cocina de esta casa esta completamente equipada amplia alacena excelente iluminacionelegante moderna e iluminada sala comedor con acceso a un gran espacio de jardin con asador garage techado porton electrico amplio closet para el resguardo de herramientavalle del sol 2da seccion cuenta con una ubicacion privilegiada ofreciendo una amplia variedad de servicios y cercania con el aifano pierdas la oportunidad de conocer y comprobar lo funcional y confort de esta casa importante mencionar que se esta abierto a negociacion entrega inmediata amueblada apta para ser adquirida mediante financiamiento contactanos para mas informacion y agenda una visitarecuerda que el precio final del inmueble puede variar de acuerdo a tu forma de pago y gastos notariales que se requieran consulta los detalles con el asesor nneximoinmobiliariadigital
149,S2,6500000,6500000,361562.21,2024-09-17,casa residencial en venta con excelente ubicacion en pachuca,162,400,40123.456790123455,16250.0,2023-04-25,16,2024-09-17,Casa,Venta,1,4,5,0,5.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-b6ba77345817-a008-4066e9b-bd18-36e9,terreno 162m2 construccion 400m2 planta baja  sala  comedor  cocina equipada  estudio  12 bano  patio trasero  sala de tv  estacionamiento 5 autos planta alta  2 recamara con closet  1 bano completo  1 recamara principal con vestidor y bano completo roof garden  bar  sala comedor y asador  cuarto de srrvicio con bano completo equipamiento  puertas vestidor y closets de nogal americano  persianas hunter douglas  pasto sintetico de primera en roof garden y patio trasero  cocina integral equipada  tanque estacionario  pisos de marmol  barandal de acero inoxidable zona residencial de alta plusvalia agenda tu visita ya
150,S2,6500000,6500000,361562.21,2024-09-17,venta casa residencial real del valle pachuca 3 niveles 3 rec todo en de marmol,250,400,26000.0,16250.0,2023-04-24,16,2024-09-17,Casa,Venta,1,3,2,0,2.0,No,valle de san javier,42086,valle de san javier,https://www.lamudi.com.mx/detalle/41032-73-a5c9040b9591-22f8-2ade1086-9c45-3f83,sotanogaraje con reja electrica color blancosalon de juegossala de tvbar con area para cava de vinocon bancos en barra12 bano patio con jardineraprimer nivelestancia estudio amplio12 banosala comedorcocina integral muy amplia de madera equipada con lavavajillamicroondasbarra desayunadora de marmolmueble para electrodomesticos de maderapuertas de vidrio esmeriladosegundo nivelrecamara principal amplia con closet y bano completotina de hidromasaje2o recamara con closet muy amplia3 recamara con closet y bano completocloset exteriordetallespisos son de marmolescaleras de maderaacceso trasero para el serviciotaque estacionariocisternabodega
151,S2,6500000,6500000,361562.21,2024-09-17,casa en venta en valle el sol ii,400,388,16250.0,16752.577319587628,2023-04-01,17,2024-09-17,Casa,Venta,1,4,4,0,4.0,No,pachuca de soto,42080,pachuca de soto,https://www.lamudi.com.mx/detalle/41032-73-7b3352eea470-2887-9261abe3-a652-36ab,excelente casa en venta en fraccionamiento valle del sol ii en esquina y frente a area verde en pachuca hgo consta en primer nivel con vestibulo medio bano visitas cocina con desayunador sala comedor area de servicio con patio patio con area de asador argentino bodega y estacionamiento techado para un auto tambien cuenta con 5 espacios de estacionamiento y area verde frente a la casaen el segundo nivel consta de 3 amplias recamaras cada una con bano vestidor y aire acondicionado oficinatercer nivel consta de recamara principal con vestidor vapor terraza amplia y gimnasio con banola casa cuenta con cisterna de 10 mil litros y acabados de cristal templado aluminio y porcelanatosver video en you tubeagenda tu cita sera un placer atenderte
152,S2,6500000,6500000,361562.21,2024-09-17,casa en venta ,324,380,20061.728395061727,17105.263157894737,2024-02-10,7,2024-09-17,Casa,Venta,2,4,1,0,1.0,No,arboledas de san javier,42034,arboledas de san javier,https://www.lamudi.com.mx/detalle/41032-73-99019b1b745b-c890-83bdc7f9-98cf-1237,espacios amplios  seguridad 24 horas zona residencial 
