año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id,year
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,2.0,3.0,4.0,4.0,1.0,1025600.0,61,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,5,1,1.0,2.0,5.0,5.0,1.0,1838808.0,62,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,5,1,2.0,2.0,5.0,6.0,1.0,2300000.0,63,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,3,3,2,1.0,2.0,3.0,3.0,1.0,482608.0,64,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,3,3,1,1.0,2.0,4.0,3.0,1.0,800000.0,65,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,3,3,1,1.0,2.0,6.0,5.0,2.0,5939100.0,66,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,3,3,1,2.0,1.0,4.0,4.0,1.0,800000.0,67,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,4,4,1,1.0,2.0,6.0,4.0,1.0,742189.0,68,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,4,4,1,2.0,2.0,5.0,5.0,1.0,1162123.0,69,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,4,4,1,2.0,3.0,2.0,4.0,1.0,636838.0,70,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,4,6,1,1.0,2.0,2.0,3.0,1.0,675581.0,71,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,4,6,1,1.0,2.0,6.0,5.0,1.0,2999600.0,72,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,4,6,1,2.0,3.0,3.0,4.0,1.0,1047750.0,73,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,4,7,1,1.0,2.0,4.0,3.0,1.0,755999.0,74,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,1,2,1,1.0,2.0,5.0,4.0,1.0,1519516.01,75,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,1,2,1,2.0,1.0,2.0,4.0,1.0,687876.14,76,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,1,2,1,2.0,2.0,5.0,4.0,2.0,3345376.91,77,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,2,1.0,3.0,5.0,3.0,1.0,480761.25,78,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,2,2.0,3.0,5.0,4.0,1.0,626399.04,79,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,1.0,2.0,1.0,2.0,1.0,498277.53,80,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,1.0,2.0,1.0,3.0,1.0,489425.7,81,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,1.0,2.0,4.0,4.0,2.0,2707000.0,82,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,1.0,2.0,6.0,4.0,1.0,1367000.0,83,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,1.0,3.0,1.0,3.0,1.0,484805.87,84,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,1.0,3.0,2.0,2.0,1.0,564000.0,85,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,2.0,2.0,2.0,2.0,1.0,609210.31,86,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,2.0,2.0,3.0,3.0,2.0,1584556.45,87,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,3,3,3,1,2.0,2.0,4.0,4.0,1.0,1553546.35,88,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,4,2,1,1,1.0,3.0,0.0,0.0,1.0,0.0,89,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,4,2,1,1,2.0,2.0,0.0,0.0,2.0,0.0,90,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,4,2,1,1,2.0,3.0,0.0,0.0,1.0,0.0,91,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,0.0,1.0,4.0,1.0,0.0,92,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,0.0,1.0,5.0,1.0,0.0,93,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,1.0,4.0,3.0,1.0,903687.4,94,2024
